date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-01-03 00:00:00+05:30,9975.1900,1351.1900,8624.0000,8648.8100,10000.0000,0.0000,-24.8100,0.0000,-24.8100,9975.1900,0.0000,0.0000,-24.8100,0.8600,0.8600,8624.0000,8624.0000,8624.0000,0.0000,1,0,-0.0025,-0.0025,0.0397,-0.0025,,,10000.0000,0.0000,,
2022-01-04 00:00:00+05:30,10116.9400,1351.1900,8765.7500,8648.8100,10000.0000,0.0000,116.9400,0.0000,116.9400,10116.9400,0.0000,0.0000,141.7500,0.8700,0.8700,8765.7500,8765.7500,8765.7500,0.0000,1,0,0.0142,0.0117,0.1618,0.0000,,,10097.5314,0.0098,,
2022-01-05 00:00:00+05:30,10277.2400,1351.1900,8926.0500,8648.8100,10000.0000,0.0000,277.2400,0.0000,277.2400,10277.2400,0.0000,0.0000,160.3000,0.8700,0.8700,8926.0500,8926.0500,8926.0500,0.0000,1,0,0.0158,0.0277,0.1960,0.0000,,,10154.4341,0.0056,,
2022-01-06 00:00:00+05:30,10086.1400,1351.1900,8734.9500,8648.8100,10000.0000,0.0000,86.1400,0.0000,86.1400,10086.1400,0.0000,0.0000,-191.1000,0.8700,0.8700,8734.9500,8734.9500,8734.9500,0.0000,1,0,-0.0186,0.0086,0.2250,-0.0186,,,10062.7433,-0.0090,,
2022-01-07 00:00:00+05:30,10135.4900,1351.1900,8784.3000,8648.8100,10000.0000,0.0000,135.4900,0.0000,135.4900,10135.4900,0.0000,0.0000,49.3500,0.8700,0.8700,8784.3000,8784.3000,8784.3000,0.0000,1,0,0.0049,0.0135,0.2042,-0.0138,,,10103.6838,0.0041,,
2022-01-10 00:00:00+05:30,10409.5400,1351.1900,9058.3500,8648.8100,10000.0000,0.0000,409.5400,0.0000,409.5400,10409.5400,0.0000,0.0000,274.0500,0.8700,0.8700,9058.3500,9058.3500,9058.3500,0.0000,1,0,0.0270,0.0410,0.2557,0.0000,,,10209.8626,0.0105,,
2022-01-11 00:00:00+05:30,10311.1900,1351.1900,8960.0000,8648.8100,10000.0000,0.0000,311.1900,0.0000,311.1900,10311.1900,0.0000,0.0000,-98.3500,0.8700,0.8700,8960.0000,8960.0000,8960.0000,0.0000,1,0,-0.0094,0.0311,0.2434,-0.0094,,,10240.2277,0.0030,,
2022-01-12 00:00:00+05:30,10522.9400,1351.1900,9171.7500,8648.8100,10000.0000,0.0000,522.9400,0.0000,522.9400,10522.9400,0.0000,0.0000,211.7500,0.8700,0.8700,9171.7500,9171.7500,9171.7500,0.0000,1,0,0.0205,0.0523,0.2551,0.0000,,,10318.8199,0.0077,,
2022-01-13 00:00:00+05:30,10585.9400,1351.1900,9234.7500,8648.8100,10000.0000,0.0000,585.9400,0.0000,585.9400,10585.9400,0.0000,0.0000,63.0000,0.8700,0.8700,9234.7500,9234.7500,9234.7500,0.0000,1,0,0.0060,0.0586,0.2426,0.0000,,,10352.2754,0.0032,,
2022-01-14 00:00:00+05:30,10927.1900,1351.1900,9576.0000,8648.8100,10000.0000,0.0000,927.1900,0.0000,927.1900,10927.1900,0.0000,0.0000,341.2500,0.8800,0.8800,9576.0000,9576.0000,9576.0000,0.0000,1,0,0.0322,0.0927,0.2812,0.0000,,,10340.3108,-0.0012,,
2022-01-17 00:00:00+05:30,11123.1900,1351.1900,9772.0000,8648.8100,10000.0000,0.0000,1123.1900,0.0000,1123.1900,11123.1900,0.0000,0.0000,196.0000,0.8800,0.8800,9772.0000,9772.0000,9772.0000,0.0000,1,0,0.0179,0.1123,0.2815,0.0000,,,10382.3854,0.0041,,
2022-01-18 00:00:00+05:30,11088.1900,1351.1900,9737.0000,8648.8100,10000.0000,0.0000,1088.1900,0.0000,1088.1900,11088.1900,0.0000,0.0000,-35.0000,0.8800,0.8800,9737.0000,9737.0000,9737.0000,0.0000,1,0,-0.0031,0.1088,0.2699,-0.0031,,,10271.3017,-0.0107,,
2022-01-19 00:00:00+05:30,11369.2400,1351.1900,10018.0500,8648.8100,10000.0000,0.0000,1369.2400,0.0000,1369.2400,11369.2400,0.0000,0.0000,281.0500,0.8800,0.8800,10018.0500,10018.0500,10018.0500,0.0000,1,0,0.0253,0.1369,0.2822,0.0000,,,10173.5718,-0.0095,,
2022-01-20 00:00:00+05:30,11361.1900,1351.1900,10010.0000,8648.8100,10000.0000,0.0000,1361.1900,0.0000,1361.1900,11361.1900,0.0000,0.0000,-8.0500,0.8800,0.8800,10010.0000,10010.0000,10010.0000,0.0000,1,0,-0.0007,0.1361,0.2720,-0.0007,,,10083.6955,-0.0088,,
2022-01-21 00:00:00+05:30,11277.1900,1351.1900,9926.0000,8648.8100,10000.0000,0.0000,1277.1900,0.0000,1277.1900,11277.1900,0.0000,0.0000,-84.0000,0.8800,0.8800,9926.0000,9926.0000,9926.0000,0.0000,1,0,-0.0074,0.1277,0.2645,-0.0081,,,10008.5623,-0.0075,,
2022-01-24 00:00:00+05:30,10834.7900,1351.1900,9483.6000,8648.8100,10000.0000,0.0000,834.7900,0.0000,834.7900,10834.7900,0.0000,0.0000,-442.4000,0.8800,0.8800,9483.6000,9483.6000,9483.6000,0.0000,1,0,-0.0392,0.0835,0.2996,-0.0470,,,9703.4933,-0.0305,,
2022-01-25 00:00:00+05:30,11326.1900,1351.1900,9975.0000,8648.8100,10000.0000,0.0000,1326.1900,0.0000,1326.1900,11326.1900,0.0000,0.0000,491.4000,0.8800,0.8800,9975.0000,9975.0000,9975.0000,0.0000,1,0,0.0454,0.1326,0.3392,-0.0038,,,9791.2999,0.0090,,
2022-01-27 00:00:00+05:30,11320.5900,1351.1900,9969.4000,8648.8100,10000.0000,0.0000,1320.5900,0.0000,1320.5900,11320.5900,0.0000,0.0000,-5.6000,0.8800,0.8800,9969.4000,9969.4000,9969.4000,0.0000,1,0,-0.0005,0.1321,0.3296,-0.0043,,,9724.3888,-0.0068,,
2022-01-28 00:00:00+05:30,11299.2400,1351.1900,9948.0500,8648.8100,10000.0000,0.0000,1299.2400,0.0000,1299.2400,11299.2400,0.0000,0.0000,-21.3500,0.8800,0.8800,9948.0500,9948.0500,9948.0500,0.0000,1,0,-0.0019,0.1299,0.3209,-0.0062,,,9700.0343,-0.0025,,
2022-01-31 00:00:00+05:30,11466.1900,1351.1900,10115.0000,8648.8100,10000.0000,0.0000,1466.1900,0.0000,1466.1900,11466.1900,0.0000,0.0000,166.9500,0.8800,0.8800,10115.0000,10115.0000,10115.0000,0.0000,1,0,0.0148,0.1466,0.3172,0.0000,,,9831.5599,0.0136,,
2022-02-01 00:00:00+05:30,11396.1900,1351.1900,10045.0000,8648.8100,10000.0000,0.0000,1396.1900,0.0000,1396.1900,11396.1900,0.0000,0.0000,-70.0000,0.8800,0.8800,10045.0000,10045.0000,10045.0000,0.0000,1,0,-0.0061,0.1396,0.3103,-0.0061,,,9982.5918,0.0154,,
2022-02-02 00:00:00+05:30,11324.0900,1351.1900,9972.9000,8648.8100,10000.0000,0.0000,1324.0900,0.0000,1324.0900,11324.0900,0.0000,0.0000,-72.1000,0.8800,0.8800,9972.9000,9972.9000,9972.9000,0.0000,1,0,-0.0063,0.1324,0.3039,-0.0124,,,10088.6005,0.0106,,
2022-02-03 00:00:00+05:30,11242.1900,1351.1900,9891.0000,8648.8100,10000.0000,0.0000,1242.1900,0.0000,1242.1900,11242.1900,0.0000,0.0000,-81.9000,0.8800,0.8800,9891.0000,9891.0000,9891.0000,0.0000,1,0,-0.0072,0.1242,0.2982,-0.0195,,,9934.7334,-0.0153,,
2022-02-04 00:00:00+05:30,11144.1900,1351.1900,9793.0000,8648.8100,10000.0000,0.0000,1144.1900,0.0000,1144.1900,11144.1900,0.0000,0.0000,-98.0000,0.8800,0.8800,9793.0000,9793.0000,9793.0000,0.0000,1,0,-0.0087,0.1144,0.2933,-0.0281,,,9924.9519,-0.0010,,
2022-02-07 00:00:00+05:30,11039.1900,1351.1900,9688.0000,8648.8100,10000.0000,0.0000,1039.1900,0.0000,1039.1900,11039.1900,0.0000,0.0000,-105.0000,0.8800,0.8800,9688.0000,9688.0000,9688.0000,0.0000,1,0,-0.0094,0.1039,0.2889,-0.0372,,,9758.8083,-0.0167,,
2022-02-08 00:00:00+05:30,10969.1900,1351.1900,9618.0000,8648.8100,10000.0000,0.0000,969.1900,0.0000,969.1900,10969.1900,0.0000,0.0000,-70.0000,0.8800,0.8800,9618.0000,9618.0000,9618.0000,0.0000,1,0,-0.0063,0.0969,0.2840,-0.0433,,,9776.0181,0.0018,,
2022-02-09 00:00:00+05:30,11298.1900,1351.1900,9947.0000,8648.8100,10000.0000,0.0000,1298.1900,0.0000,1298.1900,11298.1900,0.0000,0.0000,329.0000,0.8800,0.8800,9947.0000,9947.0000,9947.0000,0.0000,1,0,0.0300,0.1298,0.2934,-0.0147,,,9907.1467,0.0134,,
